I.D. Faena;N° Orden;Fecha;Clasifica;Código;Cuartel/Potrero;Cultivo;Variedad;Faena;Labor;Total Faena;Realizada;Total Jornadas;Trabajador;Usuario Login;Usuario;Est.Fenologico;Forma Pago;Estado Faena
80.136;;7/3/2026;La Chimbera;24;24 - Ha:2.800, Pl:4536;;Arizul;APLICACIONES;FERTILIZACION;$ 7.460,6;;0,62;;;juanpablo;;Día Lab.;Confirmada
80.135;;7/3/2026;La Chimbera;18;18 - Ha:4.400, Pl:7040;;Flame;APLICACIONES;FERTILIZACION;$ 11.717,0;;0,98;;;juanpablo;;Día Lab.;Confirmada
80.134;;7/3/2026;La Chimbera;23;23 - Ha:2.800, Pl:4544;;Fiesta;APLICACIONES;FERTILIZACION;$ 7.699,7;;0,64;;;juanpablo;;Día Lab.;Confirmada
80.133;;7/3/2026;La Chimbera;22;22 - Ha:2.600, Pl:4205;;Fiesta;APLICACIONES;FERTILIZACION;$ 7.125,8;;0,60;;;juanpablo;;Día Lab.;Confirmada
80.132;;7/3/2026;La Chimbera;20;20 - Ha:4.400, Pl:7040;;Fiesta;APLICACIONES;FERTILIZACION;$ 12.075,7;;1,02;;;juanpablo;;Día Lab.;Confirmada
80.131;;7/3/2026;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;FERTILIZACION;$ 8.201,7;;0,68;;;juanpablo;;Día Lab.;Confirmada
80.13;;7/3/2026;La Chimbera;21;21 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 6.240,9;;0,52;;;juanpablo;;Día Lab.;Confirmada
80.129;;7/3/2026;La Chimbera;16;16 - Ha:4.400, Pl:7040;;Flame;APLICACIONES;FERTILIZACION;$ 12.457,9;;1,04;;;juanpablo;;Día Lab.;Confirmada
80.128;;7/3/2026;La Chimbera;25;25 - Ha:2.800, Pl:4544;;Arizul;APLICACIONES;FERTILIZACION;$ 6.910,5;;0,58;;;juanpablo;;Día Lab.;Confirmada
80.127;;7/3/2026;La Chimbera;19;19 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 5.427,9;;0,46;;;juanpablo;;Día Lab.;Confirmada
